IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
5474,FACULDADE ANHANGUERA DE JEQUIÉ,FPJ,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Avenida Governador Lomanto Júnior,1571,Joaquim Romão,Campus Principal,45200565.0
5475,Faculdade Pitagoras de Eunapolis,FPE,PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA,Privada,4,3,Rua Suekichi Seguchi,80,Centro,Unidade Acadêmica,45820062.0
5476,FACULDADE ANHANGUERA DE MARABÁ,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,"Rodovia BR-230, Km 07",s/n,Amapá,Metropolitana,68502700.0
5477,Faculdade CEAM,CEAM,SOCIEDADE DE EDUCACAO E TECNOLOGIA CEAM LTDA,Privada,4,3,Rua Joaquim Felipe,73,Boa Vista,Sede Rec,50050340.0
5478,FACULDADE SANTA LUZIA,FSL,ESCOLA TECNICA DE COMERCIO SANTA LUZIA LTDA,Privada,4,3,Rua 21 de Abril,223,Centro,Campus Principal,65300106.0
5479,Faculdade AGES de Jacobina,Faculdade AGES,AGES EDUCACAO LTDA,Privada,4,3,Avenida Universitária,701,Pedra Branca,Campus Jacobina,44700000.0
5480,FACULDADES JOÃO PAULO II - Campus Porto Alegre,FJP,ASSOCIACAO EDUCACIONAL JOAO PAULO II,Privada,4,3,Avenida Independência,343,Independência,- até 0401 - lado ímpar,90035074.0
5481,Faculdade Petrus,FAPETRUS,ROSEMEIRE M. DO NASCIMENTO CARVALHO SERVICOS EDUCACIONAIS - ME,Privada,4,3,Rua 18,30,Cidade Operária,(Unidade 203),65058198.0
5482,Faculdade UMFG,UMFG,UMFG  EDUCACIONAL LTDA S/S,Privada,4,3,"Rodovia PR 082, Km 468, Lotes 45/46",s/n,Gleba Ribeirão,Campus sede Faculdade UMFG,87200970.0
5483,Faculdade Tecnológica de Pernambuco,FATEPE,SOCIEDADE EDUCACIONAL LIMA E LUCENA LTDA,Privada,4,3,Avenida Doutor José Augusto Moreira,990,Casa Caiada,sl 05,53130410.0
5484,FACULDADES JOÃO PAULO II - PELOTAS,FJP -PELOTAS,ASSOCIACAO EDUCACIONAL JOAO PAULO II,Privada,4,3,Rua Marechal Floriano,107,Centro,-,96015440.0
5485,FACULDADE SANTISSIMA TRINDADE,FAST,CENTRO DE ENSINO SUPERIOR SANTISSIMA TRINDADE LIMITADA,Privada,4,3,PROFESSOR AMÉRICO BRANDÃO,46,CENTRO,SEDE DA IES,55800000.0
5486,Faculdade de Ensino Superior Pelegrino Cipriani,FASPEC,MANTENEDORA EDUCACIONAL PELEGRINO CIPRIANI LTDA,Privada,4,3,Avenida Tenente-Coronel Duarte,397,Centro Norte,- até 789/790,78005500.0
5487,Faculdade Republicana,,FUNDACAO REPUBLICANA BRASILEIRA,Privada,5,3,Quadra SEPS 713/913,713/913,Asa Sul,Polo Sede,70390135.0
5488,FACULDADE ANHANGUERA DE PARAGOMINAS,FPP,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rodovia PA-256,KM 5,Nova Conquista,Rodovia PA-256,68627451.0
5489,FACULDADE ANHANGUERA DE RIBEIRÃO DAS NEVES,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Ari Teixeira da Costa,1500,Savassi,Campus Principal,33880630.0
5490,FACULDADE ANHANGUERA DE SERRA,FPS,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Nelcy Lopes Vieira,199,Jardim Limoeiro,Campus Principal,29164018.0
5491,FACULDADE ANHANGUERA DE PARAUAPEBAS,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,"Rodovia PA160, KM 10",S/N,Zona Rural,FACULDADE METROPOLITANA DE PARAUAPEBAS,68515000.0
5492,Faculdades Impactos Brasil,FACIB,UNIAO DO CENTRO EDUCACIONAL INTERDISCIPLINAR DO BRASIL - UNICEIB LTDA,Privada,4,3,Rua Coletora,3,Jardim Universitário,Campus Principal,78075440.0
5493,Faculdade Dom Bosco Paraná,Dom Bosco Paraná,CENTRO EDUCACIONAL GERALDO PAIVA - IEGP - EIRELI,Privada,4,3,Rua Fortaleza,91,Jardim Agari,-,86020240.0
5494,FACULDADE CONCEITO EDUCACIONAL,FACCON,SESRIO - SOCIEDADE EDUCACIONAL RIO BRANCO LTDA - EPP,Privada,4,3,Rua Anízio Pacheco Duque,1000,São Miguel,Faculdade Conceito Educacional - FACCON,56509220.0
5495,Faculdade Una de Pouso Alegre,Una PousoAlegre,FACEB EDUCACAO LTDA,Privada,4,3,Rua João Basílio,420,Centro,-,37550027.0
5496,Faculdade IPESSP,IPESSP,INSTITUTO DE ENSINO E PESQUISA E POS GRADUACAO EM EDUCACAO E SAUDE LTDA - EPP,Privada,4,3,Rua Dona Antônia de Queirós,333,Consolação,Faculdade Instituto de Pesquisa e Educação em Saúde de São Paulo - FIPESSP,1307012.0
5497,Faculdade ICTQ/PGE,ICTQ/PGE,INSTITUTO DE CIENCIA TECNOLOGIA E QUALIDADE INDUSTRIAL LTDA - ME,Privada,4,3,Rua Benjamin Constant,1491,Setor Central,Campus I,75024020.0
5498,Faculdade ABC de Goiânia,FABC,ABC CENTRO DE ESTUDOS LTDA,Privada,4,3,Avenida Anhanguera,105,Rodoviário,Faculdade ABC,74430030.0
5499,Faculdade Primeiro de Janeiro,FPJ,COLEGIO PRIMEIRO DE JANEIRO - LTDA,Privada,4,3,Rua dos Tabajaras,367,São Vicente,-,63700000.0
5500,Escola de Ensino Superior do Agreste Paraibano,EESAP,CENTRO EDUCACIONAL TRES MARIAS EIRELI,Privada,4,3,Rua Otacílio Lira Cabral,1300,Conj. Clovis Bezerra,Unidade Shopping,58200000.0
5501,FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE,FPCS,SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,Privada,5,3,Avenida Brigadeiro Luís Antônio,3751,Jardim Paulista,Faculdade Paulisra de Ciências da SAúde,1401001.0
5502,Faculdade de Indiara,FAIND,SOCIEDADE DE EDUCACAO E CULTURA INDIARA LTDA,Privada,4,3,AL Jorge V. Alves,Qd R,Setor  Alto da Primavera,NOVA SEDE,75955000.0
5503,Faculdade ANCLIVEPA,ANCLIVEPA,UNI-A EDUCACAO LTDA,Privada,4,3,Rua Platina,556,Vila Azevedo,-,3308010.0
5504,Faculdade Autônoma do Brasil - Maceió,FBR Maceió,Sociedade de Educa  o Superior de Macei  Ltda,Privada,4,3,Rua Fernandes de Barros,161,Centro,-,57020020.0
5505,FACULDADE BAIANA DO SENHOR DO BONFIM,FABASB,RGS EMPREENDIMENTOS EDUCACIONAIS LTDA - ME,Privada,4,3,Rua Visconde do Rio Branco,42,Centro,térreo,48970000.0
5506,FACULDADE UNISE,,UNISE EDUCACIONAL LTDA,Privada,4,3,Avenida Desembargador Clotário Portugal,933,Centro,-,83601320.0
5507,Faculdade Uninta Itapipoca,,ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS,Privada,5,3,Avenida Anastácio Braga,5700,Urbano Teixeira,-,62500000.0
5508,Faculdade de Direito de Uruguaiana - Anhanguera,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Duque de Caxias,3148,São Miguel,Campus Principal,97502772.0
5509,FIEP - FACULDADE INTERNACIONAL DE EVOLUÇÃO PROFISSIONAL,FIEP,CIEP- CENTRO INTERNACIONAL DE EVOLUCAO PROFISSIONAL E PESSOAL LTDA - ME,Privada,4,3,Rua Santa Bárbara,5,Piatã,ao lado da delicatessen Poin do Pão,41650050.0
5510,Faculdade XP Educação - IGTI,XPE,INSTITUTO DE GESTAO E TECNOLOGIA DA INFORMACAO LTDA - EPP,Privada,4,3,Rua Roma,561,Santa Lúcia,-,30360680.0
5511,Faculdade Anhanguera de São José do Rio Preto,FASJRP,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Avenida Bady Bassitt,4875,Centro,Faculdade Anhanguera de São José do Rio Preto.,15015700.0
5512,FACULDADE UNICPO,FACULDADE UNICPO,CPO - ENSINO SUPERIOR LTDA,Privada,4,3,Rua Albertina Nascimento,132,Centro,-,18110095.0
5513,Faculdades de Inovação e Tecnologia de Minas Gerais,FIT MG,FACULDADES INTEGRADAS DO SUDOESTE MINEIRO LTDA - EPP,Privada,4,3,Praça Monsenhor Messias Bragança,185,Centro,FIT MG,37900084.0
5514,FACULDADE UNIFAEL PORTO ALEGRE,FAEL POA,SER EDUCACIONAL S.A.,Privada,4,3,Avenida Macedônia,186,Restinga,-,91790040.0
5515,FACULDADES INTEGRADAS POTENCIAL,FIP,ASSOCIACAO POTENCIAL DE ENSINO,Privada,5,3,Rua José Augusto Pedroso,44,Vila São Francisco de Assis,FIP Campus Cotia,6717126.0
5516,COLÉGIO PEDRO II,CP II,COLEGIO PEDRO II,Pública,1,4,"Campo de São Cristóvão, Colégio Pedro II",177,São Cristóvão,3ºandar,20921903.0
5517,Faculdade Meridional de Porto Alegre,IMED,ATITUS EDUCACAO S.A,Privada,4,3,Rua Dona Laura,1020,Rio Branco,- lado par,90430090.0
5518,FACULDADE ANHANGUERA DE RIO BRANCO,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Estrada São do Francisco,255,Baixa da Colina,Campus Principal,69901316.0
5519,FACULDADE ANHANGUERA DE SANTO ANTÔNIO DE JESUS,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Félix Gaspar,1,Centro,-,44430090.0
5520,FACULDADE DE GOIANA,FAG,CENTRO DE ENSINO SUPERIOR DE GOIANA LTDA  - ME,Privada,4,3,Avenida Nunes Machado,199,Centro,FACULDADE DE GOIANA - UNIDADE 2,55900000.0
5521,FACULDADE DOS PALMARES,FAP,REDE FLORENCE DE ENSINO LTDA,Privada,4,3,Avenida Coronel Pedro Paranhos,290,Centro,-,55540000.0
5522,Faculdade Focus,Focus,GRUPO FOCUS DE EDUCACAO LTDA,Privada,4,3,Rua Maranhão,924,Centro,"Ed. Coliseo Center, 2 andar",85801051.0
5523,FACULDADE AMAZONAS,,FACULDADE AMAZONAS LTDA - EPP,Privada,4,3,Travessa Cristiane Azevedo,2712,Morada do Sol,-,69402093.0
5524,Faculdade Plus,PLUS,INSTITUTO TEOLOGICO PADRE GIULIANO - ITEPAGI,Privada,5,3,Avenida Bezerra de Menezes,132,Farias Brito,Bezerra de Menezes,60325000.0
5525,FACULDADE ANHANGUERA ITABIRA,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Santana,235,Penha,Campus Principal,35900064.0
5526,"Instituto de Pesquisas, Ensino e Gestão em Saúde",IPGS,"IPGS CONSULTORIA EM PESQUISA, ENSINO E GESTAO EM SAUDE LTDA - ME",Privada,4,3,Rua Doutor Freire Alemão,225,Mont Serrat,-,90450060.0
5527,FACULDADE FAVENI GUARULHOS,FAVENI - GUARULHOS,FACULDADE DE ENSINO GUARULHENSE SS LTDA,Privada,4,3,Rua do Rosário,313,Vila Camargos,-,7111080.0
5528,Faculdade CENBRAP,CENBRAP,CENBRAP - CENTRO BRASILEIRO DE POS GRADUACOES LTDA,Privada,4,3,Rua T 36,3182,Setor Bueno,- até 3764 - lado par,74223052.0
5529,Faculdade Metropolitana de Florianópolis,FAMEFLORIPA,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI S/S LTDA,Privada,4,3,Rua Tiradentes,103,Centro,FAMEFLORIPA,88010430.0
5530,FACULDADE DO SERTÃO DO ARARIPE,FASA,INSTITUTO DE EDUCACAO CCI - COLEGIO E CURSO INTERATIVO LTDA,Privada,4,3,"RUA MARIANA PENHA EVANGELISTA,",S/N,CENTRO,-,56250000.0
5531,CENTRO DE ENSINO SUPERIOR DE PALMAS,CESUP,"INSTITUTO EURO-AMERICANO DE EDUCACAO, CIENCIA E TECNOLOGIA S.A.",Privada,4,3,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado,s/n,Plano Diretor Sul,"Conjunto 1, Lotes 01 e 02",77024002.0
5532,Faculdade Pitágoras de Pouso Alegre,FPPA,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,Avenida Doutor João Beraldo,520,Centro,Campus Principal,37550000.0
5533,Faculdade Metropolitana do Ceará,FAMEC,CENTRO DE ESTUDOS JURIDICOS DO AMAZONAS LTDA,Privada,4,3,Rua Antônio Gentil Gomes,408,Cambeba,SEDE CAMBEBA,60822235.0
5534,Faculdade Una de Jataí,Una,FACEB EDUCACAO LTDA,Privada,4,3,Avenida José de Carvalho,1.800,Setor Epaminondas II,-,75805132.0
5535,FACULDADE METROPOLITANA DE LAGES,FAMELAGES,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI S/S LTDA,Privada,4,3,Rodovia BR 282,1015,Bates,Km 216 Salas L136 a L145 S16 L037 a L039A,88524400.0
5536,Faculdade Edufor de Salvador,EDUFOR,CONSULTORIA EDUFOR LTDA - ME,Privada,4,3,Avenida Joana Angélica,1061,Nazaré,FATEC SALVADOR,40050000.0
5537,Faculdade Integrada CETE,FIC,EQUIPE EDUCACIONAL GH LTDA,Privada,4,3,Rodovia BR-423,S/N,São José,Nova Sede,55295130.0
5538,Faculdade CTA,CTA,ACADEMY CENTRO DE TREINAMENTO EM ANATOMIA E ATENDIMENTO ODONTOLOGICO LTDA.,Privada,4,3,Rua Antônio Marcondes,285,Vila Dom Pedro I,SEDE,4267020.0
5539,Faculdade Pitágoras de Medicina de Eunápolis,,PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA,Privada,4,3,Rua Suekichi Seguchi,80,Centro,Campus Principal,45820062.0
5540,Faculdade FACUMINAS de Pós-Graduação EAD,FACUMINAS EAD,INSTITUTO FACUMINAS EAD LTDA,Privada,4,3,Rua Izonzo,161,Sacomã,-,4249000.0
5541,Faculdade INSTED,,INSTITUTO SUL MATOGROSSENSE DE ENSINO SUPERIOR,Privada,5,3,Rua Vinte e Seis de Agosto,63,Centro,- até 964/965,79002081.0
5542,FACULDADE DE CIÊNCIAS DA SAÚDE DO GRUPO HOSPITALAR CONCEIÇÃO,FACS - GHC,HOSPITAL NOSSA SENHORA DA CONCEICAO S.A.,Pública,1,3,Avenida Francisco Trein,326,Cristo Redentor,-,91350200.0
5543,ESCOLA DE DIREITO FUCAPE,FUCAPE DIREITO,FUCAPE PESQUISA E ENSINO S/A,Privada,4,3,Avenida Fernando Ferrari,1358,Boa Vista,-,29075505.0
5544,Faculdade de Ciências Jurídicas de Bom Jesus da Lapa,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,AV MANOEL NOVAIS,1499,CONSOLAÇÃO,CONSOLAÇÃO,47600000.0
5545,FACULDADE SANTO ANTONIO DE ITABUNA,FSAI,SEEA-SOCIEDADE DE ESTUDOS EMPRESARIAIS DE ALAGOINHAS LTDA,Privada,4,3,Avenida José Soares Pinheiro,1668 / 1694,Centro,-,45600298.0
5546,Faculdade de Ciências Jurídicas de Itumbiara,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,Rua Leopoldo de Bulhões,850,Setor Santos Dumont,QD. IH LT. 1 ao 6,75530260.0
5547,Faculdade União Paulistana,FAUP,FAUP - FACULDADE UNIAO PAULISTANA LTDA - ME,Privada,4,3,Rua Barão do Rio Branco,864,Santo Amaro,Faculdade União Paulistana,4753001.0
5548,Faculdade de Ciências Jurídicas de Altamira,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,Avenida Tancredo Neves,3414,Jardim Independente II,- de 3008/3009 ao fim,68372222.0
5549,FACULDADE UNOPAR DE CIÊNCIAS JURÍDICAS DE SETE LAGOAS,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,Rua Monsenhor Messias,94,Centro,-,35700041.0
5550,FACULDADE SUCESSO,FACSU,SUCESSO FORMACAO PROFISSIONAL LTDA,Privada,4,3,AVENIDA PREFEITO PEDRO EULÂMPIO DA SILVA,3086,SÃO JOSÉ,-,58865000.0
5551,FACULDADE DE DIREITO ATAME,ATAME,ATAME EDUCACIONAL LTDA - EPP,Privada,4,3,Avenida República do Líbano,1551,Setor Oeste,- de 1402 ao fim - lado par,74115030.0
5552,Faculdade de Direito AVANTIS de Itapema,AVANTIS Itapema,SOCIEDADE AVANTIS DE ENSINO E ESCOLA DE AVIACAO CIVIL S.A.,Privada,4,3,Avenida Governador Celso Ramos,110,Centro,Faculdade de Direito Avantis de Itapema,88220000.0
5553,Faculdade HONPAR,,ASSOCIACAO NORTE PARANAENSE DE COMBATE AO CANCER,Privada,5,3,Rodovia PR-218 Saída para Astorga,s/n,Jardim Universitário,-,86702670.0
5554,Faculdade Christus,Christus Eusébio,IPADE - INSTITUTO PARA O DESENVOLVIMENTO DA EDUCACAO LTDA.,Privada,4,3,Rua Francisco Oliveira Almeida,1100,Amador,-,61760000.0
5555,FACULDADE UNINTA FORTALEZA,,ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS,Privada,5,3,Rua Vilebaldo Aguiar,133,Cocó,SEDE - FACULDADE UNINTA FORTALEZA,60192010.0
5556,FACULDADE UNIRB - MACEIO,Faculdade Unirb,AMERICA EDUCACIONAL S.A,Privada,4,3,Avenida Menino Marcelo,7600,Serraria,Unirb,57046000.0
5557,Faculdade da Amazônia Legal,FAMA,"UNIETEC - UNIDADE DE ENSINO SUPERIOR, TECNOLOGICO E TECNICO PROFISSIONALIZANTE CAIVS IVLIVS CAESAR L",Privada,4,3,Rua Luiz Rodrigues Joaquim,76,"Centro, Setor Leste",-,78500000.0
5558,FACULDADE Ensin.E,ENSIN.E,ENSIN.E EDUCACAO LTDA,Privada,4,3,Avenida Barão do Rio Branco,3480,Passos,FACULDADE ENSIN.E,36025020.0
5559,FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES,,SOCIEDADE EDUCACIONAL E CULTURAL SERGIPE DEL REY LTDA,Privada,4,3,Avenida General Barreto de Menezes,738,Cajueiro Seco - Piedade,- de 1 a 99999 - lado ímpar,54330000.0
5560,FACULDADES FAMEP Unidade Irará - BA,FAMEP,SOCIEDADE EDUCACIONAL FAMEP LTDA - ME,Privada,4,3,Rua Rui Barbosa,232,centro,-,44255000.0
5561,Faculdade Norte-Sul,FANS,INSTITUTO RIOSULENSE DE EDUCACAO SUPERIOR LTDA,Privada,4,3,Estrada São Bento,289,Progresso,- até 571/572,89163656.0
5562,Faculdade Metropolitana de Itacoatiara,FAMETRO,IME INSTITUTO METROPOLITANO DE ENSINO LTDA,Privada,4,3,Avenida Conselheiro Ruy Barbosa,674,Centro,- de 427/428 a 955/956,69100087.0
5563,FACULDADE CECAPE,,FACULDADE CECAPE LTDA.,Privada,4,3,Rua Sulino Duda,113,Triângulo,-,63041185.0
5564,FACULDADE ANCLIVEPA DE GESTÃO E HUMANOLOGIA,FAGH,UNI-B EDUCACAO LTDA,Privada,4,3,Rua Ulisses Cruz,285,Tatuapé,FACULDADE ZONA LESTE,3077000.0
5565,Faculdade Alvorada de Saúde,,CENTRO EDUCACIONAL ALVORADA LTDA,Privada,4,3,Rua Atílio Piffer,687,Casa Verde,Nova Sede,2516000.0
5566,FACULDADE BOOKPLAY,,FACULDADE BOOK PLAY LTDA,Privada,4,3,Rua Denizar Vidigal,3620,Chácara das Paineiras,-,15502221.0
5567,Centro de Estudos em Direito e Negócios,,CEDIN EDUCACIONAL LTDA - ME,Privada,4,3,Rua Paraíba,1170,Funcionários,Campus Sede,30130141.0
5568,Faculdade Metropolitana de Coari,FAMETRO,IME INSTITUTO METROPOLITANO DE ENSINO LTDA,Privada,4,3,Rua Gonçalves Lêdo,345,Centro,Bl 1,69460000.0
5569,Faculdade Metropolitana de Parintins,FAMETRO,IME INSTITUTO METROPOLITANO DE ENSINO LTDA,Privada,4,3,Rua Benjamim da Silva,1969,Centro,-,69151270.0
5570,Faculdade Metropolitana de Tefé,FAMETRO,IME INSTITUTO METROPOLITANO DE ENSINO LTDA,Privada,4,3,Travessa Monteiro Lobato,67,Centro,-,69550105.0
5571,Faculdade Impactos - FACI,FACI,UNIAO DO CENTRO EDUCACIONAL INTERDISCIPLINAR DO BRASIL - UNICEIB LTDA,Privada,4,3,Rua Coletora 3,S/N,Jardim Universitário,-,78075440.0
5572,Instituto de Tecnologia e Liderança,Inteli,INSTITUTO BRASILEIRO DE TECNOLOGIA E CIENCIA DA COMPUTACAO - IBTCC,Privada,5,3,Avenida Professor Almeida Prado,532,Butantã,Prédios 5 e 6,5508901.0
5573,FACULDADE UNYPUBLICA,,UNYEDUCACAO ENSINO PROFISSIONAL LTDA,Privada,4,3,Rua Voluntários da Pátria,547,Centro,Polo SEDE,80020000.0
5574,FACULDADE PITÁGORAS UNOPAR DE CHAPECÓ,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,"ESTRADA MUNICIPAL CELESTE CAETANO CARBONERA,",250 E,Seminário,-,89813350.0
5575,FACULDADE PITÁGORAS DE CONCÓRDIA,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,RUA PADRES FRANCISCANOS,1100,Nossa Senhora da Salete,-,
5576,FACULDADE PITÁGORAS UNOPAR DE ITAJUBÁ,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,Rua Doutor Xavier Lisboa,348,Varginha,-,37501042.0
5577,FACULDADE PITÁGORAS UNOPAR DE QUIXERAMOBIM,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,RUA DR. MONTEIRO FILHO,130,Centro,-,63800000.0
5578,FACULDADE PITÁGORAS UNOPAR DE MURIAÉ,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,RUA MARIUS DORNELAS,110,Barra,-,36880000.0
5579,FACULDADE DO OESTE POTIGUAR,FAOP,CENTRO DE EDUCACAO SUPERIOR E TECNOLOGICO OESTE POTIGUAR LTDA - ME,Privada,4,3,RUA VEREADOR SALOMÃO QUEIROZ,151,CENTRO,CAMPUS PRINCIPAL,59920000.0
5580,FACULDADE PITÁGORAS UNOPAR DE CANINDÉ,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,RUA TABELIÃO FACUNDO,"393, 395 E 395",centro,-,62700000.0
5581,FACULDADE PITÁGORAS DE PENÁPOLIS,,ORME SERVICOS EDUCACIONAIS LTDA,Privada,4,3,"RUA ANTONIO VERONEZE,",850,JARDIM POR DO SOL,-,16300000.0
5582,Faculdade UNISUL de Itajaí,,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada,4,3,Rua Brusque,162,Centro,- até 460 - lado par,88303000.0
5583,Faculdade Una de Itabira,Una,FACEB EDUCACAO LTDA,Privada,4,3,Rua Guarda-Mor Custódio,60,Centro,Campus Centro,35900003.0
5584,Instituto Una de Itabira,Una,FACEB EDUCACAO LTDA,Privada,4,3,Rua Guarda-Mor Custódio,60,Centro,Campus Centro,35900003.0
5585,Faculdade de Tecnologia e Ciências - FTC Caruaru,FTC - Caruaru,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,Privada,4,3,Rua Marechal Cândido Rondon,214,Petrópolis,-,55032350.0
5586,FACULDADE CRISTO REI,FACCREI,"SOPEC - SOCIEDADE DE PESQUISA, ENSINO E CULTURA EIRELI - ME - ME",Privada,4,3,Pr 160,s/n,Conjunto Universitário,Campus Universitário FACCREI,86300000.0
5587,FranklinCovey Business School,FCBS,FRANKLINCOVEY EDUCACAO E EDITORA LTDA - ME,Privada,4,3,Rua Alcides Ricardini Neves,12,Cidade Monções,"Conjuntos 906,0907,0908 e 909",4575050.0
5588,FACULDADE DE CIÊNCIAS MÉDICAS DE MARICÁ,,FUNDACAO EDUCACIONAL SEVERINO SOMBRA,Privada,5,3,Avenida Roberto da Silveira,2082,Flamengo,FACULDADE DE CIENCIAS MEDICAS DE MARICA (FACMAR),24903815.0
5589,FACULDADE METROPOLITANA DO CARIRI,FAMEC,CENTRO UNIVERSITARIO UNIFATEC SOCIEDADE UNIPESSOAL LTDA,Privada,4,3,Avenida Padre Cícero,21866,Muriti,Endereço principal,63132015.0
5590,Faculdade Instituto Brasileiro de Ensino,FACIBE,IBE - INSTITUTO BRASILEIRO DE ENSINO LTDA - ME,Privada,4,3,Rua Silva Jardim,296,Floresta,loja,30150010.0
5591,Faculdade de Tecnologia e Ciências - FTC Parnamirim,FTC Parnamirim,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,Privada,4,3,Rua Tenente Osório,199,Santo Reis,-,59140285.0
5592,Faculdade de Tecnologia e Ciências - FTC Itapipoca,FTC Itapipoca,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,Privada,4,3,R Raimundo de Castro,1038,Cruzeiro,-,62500000.0
5593,Faculdade de Tecnologia e Ciências - FTC Caucaia,FTC Caucaia,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,Privada,4,3,Travessa Nossa Senhora dos Prazeres,238,Caucaia,-,61605090.0
5594,Faculdade Cetrus Sanar,CETRUS,CETRUS - DIAGNOSTICO LTDA.,Privada,4,3,Avenida Jabaquara,474,Mirandópolis,- até 0620 - lado par,4046000.0
5595,Faculdade de Educação e Tecnologia do Espírito Santo,FETES,SHIFT+ TECNOLOGIA EDUCACIONAL - EIRELI,Privada,4,3,Avenida Central,15,Parque Residencial Laranjeiras,Loja B,29165130.0
5596,FACULDADE SANTO ANTÔNIO - SJC,FSA,OLHAR EDUCACIONAL LTDA,Privada,4,3,Estrada Doutor Altino Bondensan,500,Eugênio de Mello,FACULDADE SANTO ANTÔNIO-SJC,12247016.0
5597,Faculdade Ibmec de Brasília,Ibmec Brasília,IBMEC EDUCACIONAL LTDA.,Privada,4,3,Quadra SIG Quadra 4,4,Zona Industrial,Ed Capital Financial Center,70610440.0
5598,Faculdade Pitágoras Unopar de Juazeiro do Norte,,UNIAO DE ENSINO UNOPAR S.A.,Privada,4,3,Rua do Seminário,515,Centro,- até 599/600,63010145.0
5599,FACULDADE ANHANGUERA DE SOBRAL,,UNIAO DE ENSINO UNOPAR S.A.,Privada,4,3,Avenida Monsenhor Aloísio Pinto,300,Dom Expedito,Bloco A,62050255.0
5600,Faculdades FAMEP Unidade Teresina - P,FAMEP,SOCIEDADE EDUCACIONAL SANTA TERESA D'AVILA LTDA,Privada,4,3,Rua Primeiro de Maio,1144,Marquês de Paranaguá,(Zona Norte) - de 687/688 ao fim,64002510.0
5601,Faculdades FAMEP Unidade Fortaleza  CE,FAMEP,SOCIEDADE EDUCACIONAL FAMEP LTDA - ME,Privada,4,3,Avenida João Pessoa,6008,Damas,- até 5175 - lado ímpar,60425813.0
5602,Instituto de Desenvolvimento e Aprendizagem - IDEA São Luiz,IDEA São Luiz,IDEA - INSTITUTO DE DESENVOLVIMENTO E APRENDIZAGEM SERVICOS EDUCACIONAIS LTDA,Privada,4,3,Avenida Coronel Colares Moreira,24,Calhau,Faculdade IDEA - São Luís - Calhau,65071322.0
5603,FACULDADE UNEX,UNEX,ORGANIZACAO TECNOLOGICA DE ENSINO LTDA,Privada,4,3,Rua Marechal Teodoro da Fonseca,228,Centro,-,45810000.0
5604,Centro de Estudos Superiores de Jataí,,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,Privada,4,3,Avenida José de Carvalho,s/nº,Setor Epaminondas II,-,75805132.0
5605,Escola Superior de Itabira,,FACEB EDUCACAO LTDA,Privada,4,3,Rua Guarda-Mor Custódio,60,Centro,Campus Centro,35900003.0
