IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
786,FACULDADE ENERGIA,,SOCIEDADE ENERGIA DE ENSINO SUPERIOR LTDA,Privada,4,3,Rua Saldanha Marinho,51,Centro,,88010450.0
787,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,FUNDACAO DE ENSINO SUPERIOR DO VALE DO SAPUCAI,Privada,5,1,Avenida Coronel Alfredo Custódio Paula,320,Alfredo Custódio de Paula,,37553068.0
788,FACULDADES INTEGRADAS DE TANGARÁ DA SERRA,FITS,UNIC EDUCACIONAL LTDA,Privada,4,3,Avenida Vergilio Favetti,1200,Vila Alta,UNIDADE ADMINISTRATI,78300000.0
789,CENTRO UNIVERSITÁRIO ESTÁCIO DE SÃO LUÍS,ESTÁCIO SÃO LUÍS,UB UNISAOLUIS EDUCACIONAL S.A,Privada,4,3,Rua Grande / Oswaldo Cruz,1455,Diamante,,65020250.0
790,FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ,ESTÁCIO MACAPÁ,SOCIEDADE EDUCACIONAL DA AMAZONIA LTDA,Privada,5,3,Avenida José Tupinanbá de Almeida,1223,Jesus de Nazaré,,68908126.0
791,FACULDADE DE ODONTOLOGIA DE MANAUS,FOM,CENTRO DE ENSINO PESQUISA E POS-GRADUACAO DO NORTE,Privada,5,3,Rua Leovegildo Coelho,417,Centro,,69005090.0
792,FACULDADE DE CIÊNCIAS E EDUCAÇÃO DO ESPÍRITO SANTO,UNIVES,UNIDADE EDUCACIONAL DE ENSINO PESQUISA E EXTENSAO DO ESPIRITO SANTO LTDA - UNIVES,Privada,4,3,Avenida Saturnino Rangel Mauro,420,Jardim da Penha,,29060770.0
793,FACULDADE SANTA FÉ,CESSF,CENTRO DE ENSINO SUPERIOR SANTA FE LTDA - EPP,Privada,4,3,Av. João Pessoa,300,Outreiro da Cruz,,65040003.0
794,CENTRO UNIVERSITÁRIO UNA DE UBERLÂNDIA,,INSTITUTO POLITECNICO DE ENSINO LTDA.,Privada,4,2,Alameda Paulina Margonari,59,Jardim Karaíba,UNIDADE SEDE,38411206.0
795,CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES,UNIPTAN,IPTAN - INSTITUTO DE ENSINO SUPERIOR PRESIDENTE TANCREDO DE ALMEIDA NEVES S.A.,Privada,4,2,Avenida Leite de Castro,1.101,Fábricas,,36301182.0
